subject,interests_responses,tag
JIMIPV7S,brainrot,6
JIMIPV7S,music,7
EA8GWQDV,running,1
EA8GWQDV,injury prevention,2
EA8GWQDV,health benefits,3
EA8GWQDV,community,4
A5YUTA1F,news,1
A5YUTA1F,technology,2
A5YUTA1F,memes,3
A5YUTA1F,gaming,4
A5YUTA1F,furries,5
A5YUTA1F,fails,6
A5YUTA1F,politics,7
A5YUTA1F,funny,8
A5YUTA1F,art,9
A5YUTA1F,erotica,10
A5YUTA1F,opinions,11
A5YUTA1F,guidance/help,12
A5YUTA1F,hot takes,13
A5YUTA1F,controversy,14
A5YUTA1F,environment,15
A5YUTA1F,perspectives,16
VNHTSXTP,jokes,1
VNHTSXTP,humor,2
VNHTSXTP,stories,3
VNHTSXTP,fantasy,4
VNHTSXTP,drama,5
VNHTSXTP,absurd,6
VNHTSXTP,advice,7
VNHTSXTP,video games,8
VNHTSXTP,stand up,9
VNHTSXTP,poetry,10
XI93MR3J,philosophy,1
XI93MR3J,politics,2
XI93MR3J,art,3
XI93MR3J,music,4
XI93MR3J,English books/reading,5
XI93MR3J,poems,6
XI93MR3J,the process of the creation of art,7
XI93MR3J,math,8
XI93MR3J,science and interesting facts,9
XI93MR3J,history of math,10
XI93MR3J,life advice,11
XI93MR3J,travel content,12
XI93MR3J,study of languages,13
XI93MR3J,inspirational stories,14
XI93MR3J,analysis of the news,15
XI93MR3J,analysis of movies/shows,16
XI93MR3J,travel,17
XI93MR3J,new countries,18
XI93MR3J,feminist content,19
XI93MR3J,feminism,20
XI93MR3J,patriarchy,21
IRFHWRXF,reading,1
IRFHWRXF,writing,2
IRFHWRXF,singing,3
IRFHWRXF,theater,4
IRFHWRXF,travel,5
IRFHWRXF,hikes,6
IRFHWRXF,college,7
IRFHWRXF,relationship goals,8
IRFHWRXF,relationship advice and tips,9
IRFHWRXF,crochet patterns,10
IRFHWRXF,outfit inspiration,11
IRFHWRXF,cooking,12
IRFHWRXF,baking,13
IRFHWRXF,food,14
IRFHWRXF,relatable content,15
IRFHWRXF,mental health content,16
KMXD4OZC,chinese,1
KMXD4OZC,books,2
KMXD4OZC,literature,3
KMXD4OZC,book reviews,4
KMXD4OZC,literary analysis,5
KMXD4OZC,spanish,6
KMXD4OZC,latino authors,7
KMXD4OZC,feminsm,8
8PAKX1OM,funny,1
8PAKX1OM,informational,2
8PAKX1OM,mental health related,3
9KZ4Q91O,relationships,1
9KZ4Q91O,love,2
9KZ4Q91O,gender dynamics,3
9KZ4Q91O,breakups,4
9KZ4Q91O,psychoanalysis,5
9KZ4Q91O,jung,6
9KZ4Q91O,poetry,7
9KZ4Q91O,quotes,8
9KZ4Q91O,dreams,9
9KZ4Q91O,lucid dreaming,10
9KZ4Q91O,metaphysics,11
9KZ4Q91O,psychology,12
9KZ4Q91O,biology,13
9KZ4Q91O,ecology,14
9KZ4Q91O,academic,15
9KZ4Q91O,writing,16
XV9JV4CP,entertainment,1
OEQ7A3BW,Pop Culture,1
OEQ7A3BW,Intellectual conversation,2
OEQ7A3BW,World news,3
OEQ7A3BW,Hot takes,4
LJSMGNV0,news,1
LJSMGNV0,current events,2
LJSMGNV0,literary fiction,3
LJSMGNV0,stories,4
NZ8ZTZHG,For information,1
NZ8ZTZHG,articles,2
NZ8ZTZHG,books,3
NZ8ZTZHG,memes,4
NZ8ZTZHG,subtitles,5
NZ8ZTZHG,school work,6
NZ8ZTZHG,music,7
NZ8ZTZHG,gaming,8
NZ8ZTZHG,cinematography,9
AJVNZ9CE,news,1
AJVNZ9CE,pop culture,2
AJVNZ9CE,opinion pieces,3
AJVNZ9CE,art,4
AJVNZ9CE,travel,5
AJVNZ9CE,technology,6
AJVNZ9CE,advice,7
AJVNZ9CE,humor,8
PLW1S0CA,fiction,1
PLW1S0CA,fantasy,2
PLW1S0CA,history,3
PLW1S0CA,fanfiction,4
PLW1S0CA,soccer,5
PLW1S0CA,Minecraft,6
PLW1S0CA,D&D,7
PLW1S0CA,feminist biology,8
PLW1S0CA,Tumblr,9
PLW1S0CA,a capella,10
RLHDN7YZ,People's experiences,1
RLHDN7YZ,Interviews,2
RLHDN7YZ,Things in the news,3
OX30M9NX,Humor,1
OX30M9NX,Relaxation,2
OX30M9NX,Information,3
OX30M9NX,Familiarity,4
OX30M9NX,Relatability,5
OX30M9NX,Learning,6
OX30M9NX,Discovery,7
OX30M9NX,Interests,8
OX30M9NX,Curiositiy,9
OX30M9NX,Self-rectification,10
OX30M9NX,Worldliness,11
WU4Q5VLP,current events,1
WU4Q5VLP,russian,2
WU4Q5VLP,german,3
WU4Q5VLP,old languages,4
6CDVQX7L,programming,1
6CDVQX7L,graphic design,2
6CDVQX7L,formula one,3
6CDVQX7L,web design,4
6CDVQX7L,art,5
6CDVQX7L,photography,6
6CDVQX7L,games,7
6CDVQX7L,gaming,8
QGT05169,vocabulary,1
QGT05169,culture,2
QGT05169,slags in the language,3
1KEVYYJ9,general commentary on online trends,1
1KEVYYJ9,videogames,2
1KEVYYJ9,music,3
1KEVYYJ9,tv shows,4
1KEVYYJ9,anime,5
1KEVYYJ9,online thrifting,6
18HXK612,books,1
18HXK612,gaming,2
18HXK612,xbox,3
18HXK612,tv,4
18HXK612,movies,5
18HXK612,fantasy books,6
18HXK612,stories,7
18HXK612,art,8
18HXK612,group gaming content,9
18HXK612,news,10
BF3MN8ZR,information,1
BF3MN8ZR,guidance,2
BF3MN8ZR,community,3
BF3MN8ZR,learning,4
SENRROOG,Eurovision,1
SENRROOG,politics,2
SENRROOG,movies,3
SENRROOG,oscars,4
SENRROOG,award shows,5
SENRROOG,food,6
SENRROOG,gaming,7
SENRROOG,comedy,8
SENRROOG,board games,9
SENRROOG,media commentary,10
SENRROOG,pop culture,11
SENRROOG,geography,12
SENRROOG,"local news (boston or quincy, ma)",13
SENRROOG,musicals,14
SENRROOG,music,15
86EKSDZC,Humor,1
86EKSDZC,Strategy games,2
86EKSDZC,Weird facts,3
86EKSDZC,Fighting games,4
86EKSDZC,Game design,5
86EKSDZC,TTRPGs,6
0MGC7F4K,Informational content,1
0MGC7F4K,funny jokes,2
0MGC7F4K,guides to being a better person,3
0MGC7F4K,self improvement tips,4
0MGC7F4K,others' lived experience,5
0MGC7F4K,wisdom,6
0MGC7F4K,knowledge,7
0MGC7F4K,current events,8
0MGC7F4K,news,9
0MGC7F4K,cultural content,10
0MGC7F4K,learning,11
0MGC7F4K,video games,12
0MGC7F4K,science,13
0MGC7F4K,community,14
0MGC7F4K,advice,15
MCYP84X4,sports,1
MCYP84X4,cooking,2
MCYP84X4,skiing,3
MCYP84X4,latin,4
97N7CQ49,Stories,1
97N7CQ49,Answers,2
97N7CQ49,Facts,3
97N7CQ49,Trivia,4
97N7CQ49,Quizzes,5
97N7CQ49,Games,6
97N7CQ49,Engagement,7
97N7CQ49,News,8
97N7CQ49,Updates,9
97N7CQ49,Uplifting,10
97N7CQ49,Community,11
97N7CQ49,Sharing,12
97N7CQ49,Light,13
97N7CQ49,Warm,14
97N7CQ49,Content,15
00K73X1D,media,1
00K73X1D,pop culture,2
00K73X1D,music,3
00K73X1D,TV shows,4
H6D2C4VR,anime,1
H6D2C4VR,mathj,2
H6D2C4VR,politics,3
BWQ1ZSYD,advice,1
BWQ1ZSYD,what other people's perspective is on a certain topic,2
BWQ1ZSYD,how to learn something,3
FYE2JV3H,video games,1
FYE2JV3H,stories,2
FYE2JV3H,drama,3
FYE2JV3H,vlogs,4
FYE2JV3H,food videos,5
PLC36LSR,local,1
PLC36LSR,new,2
PLC36LSR,newsj,3
PLC36LSR,stories,4
PLC36LSR,politics,5
PLC36LSR,health,6
PLC36LSR,science,7
PLC36LSR,neuroscience,8
PLC36LSR,advice,9
7SUXPU9Y,comedy,1
7SUXPU9Y,interesting,2
7SUXPU9Y,romance,3
7SUXPU9Y,advice,4
7SUXPU9Y,interesting,5
7SUXPU9Y,animals,6
7SUXPU9Y,instructions,7
7SUXPU9Y,history,8
7SUXPU9Y,political,9
7SUXPU9Y,dogs,10
7SUXPU9Y,medical,11
G8B6AJJV,running,1
G8B6AJJV,fitness,2
G8B6AJJV,reality tv,3
G8B6AJJV,local news,4
G8B6AJJV,philadelphia news,5
G8B6AJJV,real housewives,6
G8B6AJJV,long form articles,7
G8B6AJJV,non fiction articles,8
G8B6AJJV,dogs,9
UIBPJL1Q,politics,1
UIBPJL1Q,econ,2
UIBPJL1Q,news,3
UIBPJL1Q,philopshy,4
VJJ2VCIY,Dramas,1
VJJ2VCIY,Reality Tv shows,2
VJJ2VCIY,Movies,3
VJJ2VCIY,Fictional Books,4
6816055O,Games,1
ZERL6DH6,Self help,1
ZERL6DH6,Islam,2
ZERL6DH6,Fitness,3
ZERL6DH6,Spirituality,4
ZERL6DH6,International relations,5
ZERL6DH6,Current events,6
ZERL6DH6,Global culture,7
ZERL6DH6,Language learning,8
ZERL6DH6,Biographies,9
ZERL6DH6,Education (as a career),10
ZERL6DH6,Travel,11
ZERL6DH6,Academic advice,12
WJIHS3UF,Memes,1
WJIHS3UF,sports,2
WJIHS3UF,pc gaming community,3
WJIHS3UF,modding/hackint,4
PTIM46DI,religion,1
PTIM46DI,sexuality,2
PTIM46DI,culture,3
PTIM46DI,food,4
PTIM46DI,perimenopause,5
PTIM46DI,puberty,6
PTIM46DI,parenting,7
PTIM46DI,mental health,8
GY1R8XCF,Bipolar disorder,1
GY1R8XCF,aspbergers,2
GY1R8XCF,mental health,3
GY1R8XCF,Crime stories,4
IN92PH3J,memes,1
IN92PH3J,sports,2
IN92PH3J,gaming,3
IN92PH3J,pc gaming community,4
IN92PH3J,modding,5
IN92PH3J,hacking,6
IBK29FLT,r/tifu,1
IBK29FLT,r/socialskills,2
IBK29FLT,math,3
IBK29FLT,ttrpgs,4
IBK29FLT,news,5
IBK29FLT,media analysis,6
IBK29FLT,crochet,7
IBK29FLT,fantasy novels,8
IBK29FLT,advice,9
IBK29FLT,comedy skits,10
3YX63NZD,mental health,1
3YX63NZD,bipolar disorder,2
3YX63NZD,aspbergers,3
3YX63NZD,sports,4
3YX63NZD,news headlines,5
UVAI5SO9,linguistics,1
UVAI5SO9,oncology,2
UVAI5SO9,music,3
CLUJ6MWK,narrative,1
CLUJ6MWK,political,2
CLUJ6MWK,travel,3
CLUJ6MWK,logistical,4
CLUJ6MWK,logistic,5
CLUJ6MWK,analysis,6
CLUJ6MWK,insight,7
1GN1XY5J,Social opinion,1
OUSZQD8K,videogames,1
OUSZQD8K,media,2
OUSZQD8K,books,3
OUSZQD8K,online communities,4
Q0O094FV,news/politics,1
Q0O094FV,animals,2
Q0O094FV,science,3
Q0O094FV,college,4
Q0O094FV,sports,5
Q0O094FV,marriage,6
Q0O094FV,couples,7
Q0O094FV,fiction books,8
ESNMRF10,language learning,1
ESNMRF10,star wars,2
ESNMRF10,cats,3
ESNMRF10,news,4
ESNMRF10,stories,5
ESNMRF10,travel,6
ESNMRF10,video games,7
ESNMRF10,humor,8
ESNMRF10,animals,9
ESNMRF10,video essays,10
ESNMRF10,strategy games,11
ESNMRF10,history,12
ESNMRF10,drama,13
ESNMRF10,biology,14
ESNMRF10,dinosaurs,15
ESNMRF10,movies,16
40SNDKQR,Reviews,1
40SNDKQR,Recommendations,2
40SNDKQR,Advice,3
40SNDKQR,Fun,4
40SNDKQR,Activities,5
8JEH1CCN,International relations,1
8JEH1CCN,people's stories,2
8JEH1CCN,learning how to fix specific things,3
8JEH1CCN,exploring different topics,4
8JEH1CCN,learning how to fix a specific isssue,5
RA3E28NX,books,1
X7NJHDH5,gay stuff,1
X7NJHDH5,wlw,2
X7NJHDH5,masc,3
X7NJHDH5,butch,4
X7NJHDH5,clothes,5
X7NJHDH5,shopping,6
X7NJHDH5,fashion,7
X7NJHDH5,travel,8
X7NJHDH5,hiking,9
X7NJHDH5,nature,10
X7NJHDH5,outdoors,11
X7NJHDH5,gym,12
X7NJHDH5,workout,13
X7NJHDH5,rugby,14
JDVDZARM,horror,1
JDVDZARM,knitting,2
JDVDZARM,comedy,3
JDVDZARM,crime,4
JDVDZARM,crochet,5
JDVDZARM,grading,6
JDVDZARM,politics,7
CR5FX38I,No,1
WE4X1N4Z,Romance,1
WE4X1N4Z,College updates (on rbowdoin),2
WE4X1N4Z,Writing,3
WE4X1N4Z,Books,4
WE4X1N4Z,Plot,5
WE4X1N4Z,travel,6
WE4X1N4Z,Clothing inspiration and outfit ideas,7
WE4X1N4Z,Music,8
WE4X1N4Z,Advice for school,9
WE4X1N4Z,Relatable content,10
WE4X1N4Z,Theater,11
HRGLC5V1,Pop Culture & Entertainment,1
HRGLC5V1,Education & Learning,2
HRGLC5V1,Humor and memes,3
Q1UDZH9M,Entertainment,1
3MDWI5NI,ems,1
3MDWI5NI,flashlights,2
3MDWI5NI,radios,3
3MDWI5NI,news,4
3MDWI5NI,career exploration,5
3MDWI5NI,professional,6
3MDWI5NI,jokes,7
3MDWI5NI,learning,8
NRXHKYAS,Current events,1
NRXHKYAS,games,2
NRXHKYAS,philosophy,3
NRXHKYAS,medicine,4
NRXHKYAS,psychology,5
YDKEN7JY,fantasy,1
YDKEN7JY,sports,2
YDKEN7JY,superheroes,3
YDKEN7JY,history,4
YDKEN7JY,aRT,5
YDKEN7JY,theatre,6
4CA4DFWP,funny,1
4CA4DFWP,informative,2
4CA4DFWP,cooking,3
4CA4DFWP,beauty,4
4CA4DFWP,japan,5
4CA4DFWP,japanese,6
4CA4DFWP,language learning,7
4CA4DFWP,student,8
4CA4DFWP,friends,9
X9DHE97U,careers,1
S30LA614,fiction,1
S30LA614,politics,2
S30LA614,fashion,3
S30LA614,food,4
S30LA614,creation,5
S30LA614,current events,6
S30LA614,science,7
S30LA614,writing,8
B3MZX5TF,Looking for homework help,1
B3MZX5TF,general advice,2
HZP27937,reading,1
HZP27937,social media,2
FDULT82W,news,1
FDULT82W,current events,2
FDULT82W,art,3
FDULT82W,art careers,4
FDULT82W,History,5
FDULT82W,drama,6
6PJDUW9O,"sports, politics, current events, medicine",1
G3QXC5TF,academic,1
G3QXC5TF,professional,2
G3QXC5TF,humor,3
0L28O7LJ,travel,1
0L28O7LJ,culture,2
0L28O7LJ,food,3
0L28O7LJ,day in my life,4
0L28O7LJ,podcasts,5
0L28O7LJ,youtube videos,6
0L28O7LJ,cartoon shows,7
